date,code,name,investor,buy_krw,sell_krw,net_krw
2026-02-06,009150,삼성전기,연기금,17059829000.0,19293067250.0,-2233238250.0
2026-02-06,009150,삼성전기,외국인,50770541000.0,49769132000.0,1001409000.0
2026-02-09,000660,SK하이닉스,개인,825441642000.0,1354525522500.0,-529083880500.0
2026-02-09,000660,SK하이닉스,금융투자,603473973500.0,64086211000.0,539387762500.0
2026-02-09,000660,SK하이닉스,연기금,618076066500.0,616955096500.0,1120970000.0
2026-02-09,000660,SK하이닉스,외국인,1508370739000.0,1650894086500.0,-142523347500.0
2026-02-09,005930,삼성전자,개인,1093312683550.0,2090786007600.0,-997473324050.0
2026-02-09,005930,삼성전자,금융투자,787158863950.0,78803800100.0,708355063850.0
2026-02-09,005930,삼성전자,연기금,606906703450.0,629901576700.0,-22994873250.0
2026-02-09,005930,삼성전자,외국인,1383414130322.0,1293961516772.0,89452613550.0
2026-02-09,009150,삼성전기,개인,61513224500.0,135375316750.0,-73862092250.0
2026-02-09,009150,삼성전기,금융투자,23037523750.0,10506666000.0,12530857750.0
2026-02-09,009150,삼성전기,연기금,18230600500.0,14512452250.0,3718148250.0
2026-02-09,009150,삼성전기,외국인,79792795000.0,40454616250.0,39338178750.0
2026-02-10,000660,SK하이닉스,개인,882063719000.0,1023877915500.0,-141814196500.0
2026-02-10,000660,SK하이닉스,금융투자,230670026500.0,137861156500.0,92808870000.0
2026-02-10,000660,SK하이닉스,연기금,628870353500.0,640897306500.0,-12026953000.0
2026-02-10,000660,SK하이닉스,외국인,1232840774490.0,1162964135490.0,69876639000.0
2026-02-10,005930,삼성전자,개인,758035285950.0,1362616976550.0,-604581690600.0
2026-02-10,005930,삼성전자,금융투자,335829088800.0,131293184800.0,204535904000.0
2026-02-10,005930,삼성전자,연기금,495941599950.0,533210576600.0,-37268976650.0
2026-02-10,005930,삼성전자,외국인,1381989000442.0,1073739765192.0,308249235250.0
2026-02-10,009150,삼성전기,개인,96827579500.0,143101495250.0,-46273915750.0
2026-02-10,009150,삼성전기,금융투자,18581612750.0,7608743750.0,10972869000.0
2026-02-10,009150,삼성전기,연기금,27556570500.0,33201270000.0,-5644699500.0
2026-02-10,009150,삼성전기,외국인,78829406000.0,44257457500.0,34571948500.0
